Age in 5-year groups ,Region,Religion,Ethnicity,Education in single years,Number of household members,Educational attainment,Frequency of reading newspaper or magazine,Frequency of listening to radio,Frequency of watching television,Literacy,Ever participated in a literacy program,Use of internet,Frequency of using internet last month,Owns a mobile telephone,Wealth index factor score for urban/rural,Wealth index for urban/rural,Wealth index factor score combined (5 decimals)
4.0,2.0,5.0,1.0,5.0,7.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,-101557.0,1.0,-141639.0
6.0,2.0,5.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,-116220.0,1.0,-154419.0
6.0,2.0,5.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,-116220.0,1.0,-154419.0
1.0,2.0,5.0,1.0,9.0,7.0,3.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,-62142.0,2.0,-107284.0
5.0,2.0,5.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,-59707.0,2.0,-105161.0
5.0,2.0,5.0,2.0,5.0,6.0,1.0,0.0,2.0,1.0,0.0,,0.0,0.0,1.0,-84111.0,2.0,-126432.0
4.0,2.0,4.0,1.0,15.0,4.0,5.0,0.0,0.0,2.0,2.0,,1.0,3.0,1.0,195883.0,5.0,117619.0
4.0,2.0,4.0,1.0,15.0,4.0,5.0,0.0,0.0,2.0,2.0,,1.0,3.0,1.0,195883.0,5.0,117619.0
2.0,2.0,3.0,1.0,9.0,2.0,3.0,0.0,1.0,2.0,1.0,,0.0,0.0,1.0,155323.0,5.0,82266.0
2.0,2.0,5.0,1.0,12.0,6.0,4.0,0.0,0.0,2.0,2.0,,0.0,0.0,1.0,64669.0,4.0,3248.0
2.0,2.0,6.0,1.0,12.0,4.0,4.0,0.0,0.0,1.0,2.0,,1.0,3.0,1.0,125589.0,5.0,56348.0
5.0,2.0,6.0,1.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,12434.0,3.0,-42281.0
4.0,2.0,6.0,1.0,9.0,6.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,66376.0,4.0,4736.0
4.0,2.0,6.0,1.0,9.0,6.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,66376.0,4.0,4736.0
4.0,2.0,6.0,1.0,9.0,6.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,66376.0,4.0,4736.0
5.0,2.0,3.0,1.0,4.0,6.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,19721.0,3.0,-35929.0
5.0,2.0,4.0,1.0,6.0,4.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,41786.0,4.0,-16697.0
5.0,2.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,90553.0,5.0,25810.0
4.0,2.0,5.0,1.0,10.0,2.0,3.0,0.0,1.0,2.0,2.0,,1.0,2.0,1.0,44665.0,3.0,90452.0
4.0,2.0,1.0,1.0,9.0,3.0,3.0,0.0,1.0,1.0,2.0,,1.0,2.0,1.0,-106217.0,1.0,-28665.0
3.0,2.0,1.0,1.0,13.0,4.0,4.0,1.0,1.0,1.0,2.0,,1.0,3.0,1.0,-36990.0,2.0,25988.0
4.0,2.0,6.0,1.0,9.0,7.0,3.0,1.0,2.0,2.0,1.0,,0.0,0.0,1.0,-25937.0,2.0,34714.0
4.0,2.0,6.0,1.0,9.0,7.0,3.0,1.0,2.0,2.0,1.0,,0.0,0.0,1.0,-25937.0,2.0,34714.0
4.0,2.0,6.0,1.0,9.0,7.0,3.0,1.0,2.0,2.0,1.0,,0.0,0.0,1.0,-25937.0,2.0,34714.0
3.0,2.0,3.0,1.0,15.0,10.0,5.0,0.0,1.0,2.0,2.0,,1.0,0.0,1.0,-4401.0,3.0,51716.0
4.0,2.0,5.0,1.0,16.0,10.0,5.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,-4401.0,3.0,51716.0
4.0,2.0,5.0,1.0,16.0,10.0,5.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,-4401.0,3.0,51716.0
3.0,2.0,5.0,1.0,10.0,8.0,3.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,21744.0,3.0,-34166.0
7.0,2.0,5.0,1.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,-9899.0,3.0,-61747.0
1.0,2.0,5.0,1.0,8.0,4.0,3.0,0.0,0.0,1.0,2.0,,2.0,0.0,1.0,-9899.0,3.0,-61747.0
2.0,2.0,5.0,1.0,13.0,4.0,5.0,0.0,1.0,1.0,2.0,,1.0,2.0,1.0,228418.0,5.0,145977.0
4.0,2.0,1.0,1.0,9.0,6.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,161388.0,5.0,87552.0
4.0,2.0,1.0,1.0,9.0,6.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,161388.0,5.0,87552.0
4.0,2.0,5.0,1.0,7.0,5.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,54282.0,4.0,-5805.0
4.0,2.0,5.0,1.0,7.0,5.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,54282.0,4.0,-5805.0
6.0,2.0,6.0,1.0,9.0,3.0,3.0,0.0,1.0,2.0,1.0,,1.0,2.0,1.0,148466.0,5.0,76288.0
3.0,2.0,5.0,1.0,9.0,2.0,3.0,0.0,0.0,2.0,2.0,,1.0,2.0,1.0,142883.0,5.0,71422.0
2.0,2.0,5.0,1.0,9.0,3.0,3.0,0.0,0.0,2.0,0.0,,2.0,0.0,1.0,103702.0,5.0,37271.0
6.0,2.0,3.0,1.0,4.0,5.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,2730.0,3.0,-50739.0
2.0,2.0,1.0,1.0,10.0,3.0,3.0,0.0,0.0,0.0,2.0,,2.0,0.0,1.0,85276.0,4.0,21210.0
2.0,2.0,1.0,1.0,10.0,3.0,3.0,0.0,0.0,0.0,2.0,,2.0,0.0,1.0,85276.0,4.0,21210.0
5.0,2.0,3.0,1.0,9.0,6.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,196504.0,5.0,118160.0
5.0,2.0,6.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,2.0,,1.0,1.0,1.0,31093.0,4.0,-26017.0
5.0,2.0,6.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,2.0,,1.0,1.0,1.0,31093.0,4.0,-26017.0
5.0,2.0,3.0,1.0,6.0,7.0,3.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,103422.0,5.0,37027.0
5.0,2.0,3.0,1.0,6.0,7.0,3.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,103422.0,5.0,37027.0
4.0,2.0,6.0,1.0,7.0,6.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,39597.0,4.0,-18605.0
5.0,2.0,3.0,1.0,9.0,4.0,3.0,0.0,2.0,1.0,2.0,,0.0,0.0,1.0,-8301.0,3.0,-60354.0
5.0,2.0,3.0,1.0,9.0,4.0,3.0,0.0,2.0,1.0,2.0,,0.0,0.0,1.0,-8301.0,3.0,-60354.0
3.0,2.0,6.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2689.0,3.0,-50775.0
5.0,2.0,6.0,1.0,9.0,10.0,3.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,15450.0,3.0,-39652.0
4.0,2.0,6.0,1.0,9.0,7.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,16014.0,3.0,-39160.0
4.0,2.0,6.0,1.0,9.0,7.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,16014.0,3.0,-39160.0
5.0,2.0,3.0,1.0,9.0,7.0,3.0,0.0,2.0,0.0,2.0,,0.0,0.0,1.0,-25641.0,3.0,-75468.0
4.0,2.0,6.0,1.0,3.0,6.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,-16675.0,3.0,-67653.0
4.0,2.0,6.0,1.0,3.0,6.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,-16675.0,3.0,-67653.0
2.0,2.0,6.0,1.0,4.0,6.0,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,-37088.0,2.0,-85445.0
2.0,2.0,6.0,1.0,4.0,6.0,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,-37088.0,2.0,-85445.0
1.0,2.0,6.0,1.0,9.0,3.0,3.0,1.0,1.0,2.0,2.0,,2.0,0.0,1.0,23139.0,3.0,-32951.0
7.0,2.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,764.0,3.0,-52453.0
5.0,2.0,6.0,1.0,8.0,7.0,3.0,0.0,2.0,1.0,0.0,,2.0,0.0,1.0,3803.0,3.0,-49804.0
5.0,2.0,6.0,1.0,8.0,7.0,3.0,0.0,2.0,1.0,0.0,,2.0,0.0,1.0,3803.0,3.0,-49804.0
3.0,2.0,5.0,1.0,10.0,5.0,3.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,-4819.0,3.0,-57319.0
3.0,2.0,5.0,1.0,10.0,5.0,3.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,-4819.0,3.0,-57319.0
3.0,2.0,6.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-55759.0,2.0,-101720.0
3.0,2.0,3.0,1.0,9.0,5.0,3.0,0.0,0.0,2.0,2.0,,0.0,0.0,1.0,165794.0,5.0,91392.0
3.0,2.0,3.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,63656.0,4.0,2366.0
5.0,2.0,5.0,1.0,6.0,4.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,120279.0,5.0,51720.0
3.0,2.0,5.0,1.0,9.0,4.0,3.0,0.0,2.0,2.0,2.0,,1.0,2.0,1.0,88126.0,4.0,23694.0
6.0,2.0,5.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,-50200.0,2.0,-96875.0
4.0,2.0,5.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,117568.0,5.0,49357.0
4.0,2.0,5.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,117568.0,5.0,49357.0
4.0,2.0,3.0,1.0,9.0,4.0,3.0,0.0,2.0,2.0,2.0,,2.0,0.0,1.0,147956.0,5.0,75844.0
4.0,2.0,5.0,2.0,5.0,3.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,107547.0,5.0,40622.0
2.0,2.0,5.0,1.0,9.0,2.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,163146.0,5.0,89084.0
4.0,2.0,3.0,1.0,10.0,3.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,0.0,125219.0,5.0,56026.0
4.0,2.0,5.0,3.0,7.0,4.0,3.0,0.0,1.0,2.0,0.0,,1.0,3.0,1.0,30761.0,3.0,79475.0
3.0,2.0,5.0,1.0,10.0,4.0,3.0,0.0,1.0,2.0,2.0,,1.0,1.0,1.0,-63699.0,1.0,4902.0
3.0,2.0,5.0,1.0,10.0,4.0,3.0,0.0,1.0,2.0,2.0,,1.0,1.0,1.0,-63699.0,1.0,4902.0
3.0,2.0,5.0,1.0,10.0,4.0,3.0,0.0,1.0,2.0,2.0,,1.0,1.0,1.0,-63699.0,1.0,4902.0
2.0,2.0,6.0,1.0,6.0,2.0,2.0,0.0,0.0,2.0,1.0,,1.0,2.0,1.0,-42892.0,2.0,21329.0
4.0,2.0,5.0,1.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,-63937.0,1.0,4714.0
3.0,2.0,7.0,1.0,12.0,5.0,4.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,-41262.0,2.0,22616.0
3.0,2.0,7.0,1.0,12.0,5.0,4.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,-41262.0,2.0,22616.0
3.0,2.0,7.0,1.0,12.0,5.0,4.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,-41262.0,2.0,22616.0
5.0,2.0,6.0,1.0,9.0,6.0,3.0,0.0,2.0,2.0,1.0,,1.0,2.0,1.0,-20709.0,2.0,38841.0
4.0,2.0,5.0,3.0,8.0,4.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,-53821.0,2.0,12700.0
3.0,2.0,5.0,1.0,9.0,4.0,3.0,0.0,2.0,1.0,2.0,,1.0,1.0,1.0,3291.0,3.0,-50250.0
3.0,2.0,6.0,1.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,-15625.0,3.0,-66738.0
3.0,2.0,1.0,3.0,3.0,4.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,40981.0,4.0,-17398.0
3.0,2.0,1.0,3.0,3.0,4.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,40981.0,4.0,-17398.0
7.0,2.0,4.0,1.0,3.0,7.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,80693.0,4.0,17216.0
4.0,2.0,1.0,1.0,13.0,8.0,4.0,0.0,2.0,1.0,1.0,,0.0,0.0,0.0,3066.0,3.0,-50446.0
2.0,2.0,6.0,1.0,10.0,10.0,3.0,0.0,1.0,1.0,2.0,,1.0,3.0,0.0,45302.0,4.0,-13632.0
2.0,2.0,6.0,1.0,7.0,10.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,45302.0,4.0,-13632.0
5.0,2.0,1.0,1.0,7.0,4.0,3.0,0.0,2.0,1.0,0.0,,0.0,0.0,1.0,16186.0,3.0,-39011.0
5.0,2.0,95.0,1.0,9.0,7.0,3.0,0.0,0.0,2.0,0.0,,1.0,3.0,1.0,166120.0,5.0,91676.0
3.0,2.0,6.0,1.0,9.0,4.0,3.0,0.0,0.0,2.0,0.0,,1.0,3.0,1.0,-28931.0,2.0,-78336.0
2.0,2.0,5.0,1.0,12.0,6.0,4.0,0.0,2.0,1.0,2.0,,0.0,0.0,1.0,-144214.0,1.0,-178820.0
4.0,2.0,5.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,-78243.0,2.0,-121317.0
4.0,2.0,5.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,-78243.0,2.0,-121317.0
2.0,2.0,5.0,1.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-124664.0,1.0,-161780.0
2.0,2.0,5.0,1.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-124664.0,1.0,-161780.0
6.0,2.0,5.0,3.0,2.0,8.0,1.0,0.0,2.0,1.0,0.0,,0.0,0.0,1.0,-26688.0,2.0,-76381.0
5.0,2.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-101001.0,1.0,-141154.0
5.0,2.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-101001.0,1.0,-141154.0
1.0,2.0,6.0,1.0,7.0,6.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,-45606.0,2.0,-92871.0
6.0,2.0,5.0,3.0,9.0,10.0,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,19949.0,3.0,-35731.0
6.0,2.0,6.0,1.0,6.0,4.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,-89685.0,1.0,-15613.0
3.0,2.0,6.0,1.0,9.0,5.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,-126985.0,1.0,-45061.0
2.0,2.0,6.0,1.0,12.0,2.0,4.0,0.0,2.0,2.0,2.0,,2.0,0.0,1.0,-106350.0,1.0,-28770.0
3.0,2.0,1.0,1.0,8.0,4.0,3.0,0.0,2.0,2.0,0.0,,2.0,0.0,1.0,-35218.0,2.0,27387.0
2.0,2.0,5.0,1.0,9.0,7.0,3.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,-36967.0,2.0,26006.0
2.0,2.0,5.0,1.0,9.0,7.0,3.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,-36967.0,2.0,26006.0
5.0,2.0,5.0,1.0,6.0,3.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,-79333.0,1.0,-7441.0
2.0,2.0,5.0,1.0,9.0,3.0,3.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,-40443.0,2.0,23262.0
4.0,2.0,5.0,1.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,81225.0,4.0,17680.0
3.0,2.0,4.0,1.0,9.0,4.0,3.0,1.0,0.0,2.0,2.0,,1.0,3.0,1.0,76631.0,4.0,13675.0
3.0,2.0,5.0,1.0,9.0,3.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,109233.0,5.0,42092.0
3.0,2.0,5.0,1.0,8.0,5.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,21772.0,3.0,-34142.0
1.0,2.0,5.0,1.0,10.0,3.0,3.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,28300.0,4.0,-28452.0
1.0,2.0,5.0,1.0,10.0,3.0,3.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,28300.0,4.0,-28452.0
2.0,2.0,6.0,1.0,12.0,3.0,4.0,2.0,2.0,2.0,2.0,,1.0,3.0,1.0,128368.0,5.0,58770.0
3.0,2.0,5.0,1.0,9.0,4.0,3.0,0.0,1.0,2.0,1.0,,0.0,0.0,0.0,139733.0,5.0,68677.0
4.0,2.0,5.0,1.0,7.0,5.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,138706.0,5.0,67782.0
5.0,2.0,5.0,2.0,9.0,6.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,131558.0,5.0,61551.0
5.0,2.0,5.0,2.0,9.0,6.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,131558.0,5.0,61551.0
4.0,2.0,3.0,1.0,7.0,8.0,3.0,0.0,0.0,2.0,0.0,,1.0,1.0,1.0,118568.0,5.0,50229.0
4.0,2.0,3.0,1.0,7.0,8.0,3.0,0.0,0.0,2.0,0.0,,1.0,1.0,1.0,118568.0,5.0,50229.0
5.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,37473.0,4.0,-20457.0
3.0,2.0,5.0,1.0,12.0,2.0,4.0,2.0,1.0,2.0,2.0,,1.0,3.0,1.0,122469.0,5.0,53629.0
2.0,2.0,5.0,1.0,9.0,2.0,3.0,0.0,1.0,2.0,1.0,,1.0,2.0,1.0,46693.0,4.0,92053.0
3.0,2.0,5.0,1.0,9.0,4.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,-46485.0,2.0,18492.0
5.0,2.0,5.0,1.0,7.0,6.0,3.0,0.0,0.0,2.0,0.0,,1.0,1.0,1.0,-30648.0,2.0,30994.0
4.0,2.0,4.0,3.0,7.0,7.0,3.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,38098.0,3.0,85268.0
3.0,2.0,6.0,1.0,13.0,4.0,4.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,11885.0,3.0,64573.0
3.0,2.0,5.0,1.0,12.0,5.0,4.0,0.0,0.0,2.0,2.0,,1.0,3.0,1.0,85406.0,4.0,122616.0
3.0,2.0,5.0,1.0,12.0,5.0,4.0,0.0,0.0,2.0,2.0,,1.0,3.0,1.0,85406.0,4.0,122616.0
2.0,2.0,5.0,3.0,12.0,3.0,4.0,0.0,0.0,2.0,2.0,,1.0,2.0,1.0,-1403.0,3.0,54083.0
3.0,2.0,5.0,1.0,9.0,4.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,-56655.0,2.0,10463.0
2.0,2.0,5.0,1.0,6.0,4.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,-27594.0,2.0,33406.0
2.0,2.0,5.0,1.0,6.0,4.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,-27594.0,2.0,33406.0
3.0,2.0,5.0,1.0,7.0,10.0,3.0,0.0,0.0,2.0,1.0,,1.0,2.0,1.0,162367.0,5.0,88405.0
3.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,,1.0,1.0,1.0,127718.0,5.0,58204.0
6.0,2.0,95.0,1.0,9.0,4.0,3.0,0.0,0.0,2.0,2.0,,1.0,1.0,1.0,135946.0,5.0,65375.0
2.0,2.0,1.0,1.0,11.0,2.0,3.0,0.0,1.0,2.0,2.0,,1.0,1.0,1.0,97009.0,5.0,31437.0
4.0,2.0,5.0,7.0,9.0,8.0,3.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,78186.0,4.0,15031.0
4.0,2.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,160123.0,5.0,86449.0
4.0,2.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,160123.0,5.0,86449.0
4.0,2.0,6.0,1.0,2.0,6.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,130405.0,5.0,60546.0
3.0,2.0,5.0,1.0,9.0,4.0,3.0,0.0,0.0,2.0,2.0,,1.0,1.0,1.0,133714.0,5.0,63430.0
3.0,2.0,5.0,1.0,9.0,4.0,3.0,0.0,0.0,2.0,2.0,,1.0,1.0,1.0,133714.0,5.0,63430.0
6.0,2.0,1.0,1.0,9.0,4.0,3.0,1.0,2.0,2.0,1.0,,0.0,0.0,1.0,156410.0,5.0,83212.0
4.0,3.0,6.0,1.0,16.0,3.0,5.0,2.0,1.0,2.0,2.0,,1.0,3.0,1.0,261476.0,5.0,261618.0
4.0,3.0,5.0,2.0,9.0,3.0,3.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,80742.0,4.0,118934.0
5.0,3.0,8.0,2.0,6.0,4.0,2.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,-42788.0,2.0,21411.0
5.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,35206.0,3.0,82984.0
7.0,3.0,5.0,2.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,34783.0,3.0,82651.0
3.0,3.0,6.0,2.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,,0.0,0.0,1.0,-75892.0,1.0,-4724.0
5.0,3.0,7.0,2.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,20328.0,3.0,71239.0
1.0,3.0,5.0,2.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-41325.0,2.0,22566.0
7.0,3.0,7.0,7.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,97929.0,4.0,132503.0
7.0,3.0,7.0,7.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,97929.0,4.0,132503.0
5.0,3.0,6.0,2.0,9.0,4.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,85924.0,4.0,123025.0
3.0,3.0,6.0,3.0,9.0,5.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,40748.0,3.0,87360.0
3.0,3.0,6.0,3.0,9.0,5.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,40748.0,3.0,87360.0
7.0,3.0,7.0,6.0,0.0,8.0,0.0,0.0,2.0,2.0,0.0,,1.0,2.0,1.0,-7243.0,2.0,49472.0
4.0,3.0,5.0,3.0,8.0,3.0,3.0,1.0,2.0,2.0,2.0,,0.0,0.0,1.0,32512.0,3.0,80857.0
2.0,3.0,6.0,3.0,11.0,4.0,3.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,15400.0,3.0,67348.0
2.0,3.0,6.0,3.0,11.0,4.0,3.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,15400.0,3.0,67348.0
4.0,3.0,7.0,7.0,16.0,6.0,5.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,117718.0,5.0,148125.0
4.0,3.0,5.0,3.0,9.0,6.0,3.0,0.0,2.0,2.0,2.0,,1.0,2.0,1.0,82483.0,4.0,120308.0
4.0,3.0,5.0,3.0,9.0,6.0,3.0,0.0,2.0,2.0,2.0,,1.0,2.0,1.0,82483.0,4.0,120308.0
4.0,3.0,5.0,4.0,5.0,5.0,1.0,0.0,1.0,2.0,0.0,,1.0,3.0,1.0,78494.0,4.0,117159.0
3.0,3.0,6.0,3.0,9.0,4.0,3.0,1.0,1.0,2.0,2.0,,0.0,0.0,1.0,117386.0,5.0,147863.0
3.0,3.0,6.0,3.0,9.0,4.0,3.0,1.0,1.0,2.0,2.0,,0.0,0.0,1.0,117386.0,5.0,147863.0
3.0,3.0,6.0,1.0,15.0,3.0,5.0,1.0,1.0,2.0,2.0,,1.0,3.0,1.0,114515.0,5.0,145597.0
3.0,3.0,4.0,1.0,9.0,4.0,3.0,1.0,2.0,2.0,2.0,,0.0,0.0,1.0,87464.0,4.0,124240.0
6.0,3.0,4.0,2.0,9.0,5.0,3.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,103342.0,4.0,136776.0
5.0,3.0,5.0,1.0,9.0,5.0,3.0,0.0,0.0,2.0,2.0,,0.0,0.0,1.0,120367.0,5.0,150217.0
5.0,3.0,5.0,2.0,10.0,5.0,3.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,123986.0,5.0,153074.0
2.0,3.0,5.0,2.0,12.0,7.0,4.0,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,125584.0,5.0,56344.0
5.0,3.0,5.0,2.0,9.0,4.0,3.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,102291.0,5.0,36041.0
2.0,3.0,5.0,2.0,8.0,5.0,3.0,1.0,1.0,2.0,2.0,,0.0,0.0,1.0,71831.0,4.0,9491.0
2.0,3.0,5.0,2.0,8.0,5.0,3.0,1.0,1.0,2.0,2.0,,0.0,0.0,1.0,71831.0,4.0,9491.0
2.0,3.0,5.0,7.0,9.0,5.0,3.0,1.0,1.0,2.0,2.0,,1.0,3.0,1.0,126284.0,5.0,56954.0
4.0,3.0,5.0,3.0,6.0,4.0,2.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,70627.0,4.0,8442.0
2.0,3.0,5.0,3.0,2.0,4.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,64385.0,4.0,3001.0
3.0,3.0,5.0,1.0,12.0,4.0,4.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,218167.0,5.0,137042.0
2.0,3.0,5.0,3.0,9.0,4.0,3.0,1.0,0.0,2.0,2.0,,0.0,0.0,1.0,16696.0,3.0,-38566.0
2.0,3.0,5.0,3.0,9.0,4.0,3.0,1.0,0.0,2.0,2.0,,0.0,0.0,1.0,16696.0,3.0,-38566.0
1.0,3.0,5.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,306.0,3.0,-52852.0
