Age in 5-year groups ,Region,Religion,Ethnicity,Education in single years,Number of household members,Educational attainment,Frequency of reading newspaper or magazine,Frequency of listening to radio,Frequency of watching television,Literacy,Ever participated in a literacy program,Use of internet,Frequency of using internet last month,Owns a mobile telephone,Wealth index factor score for urban/rural,Wealth index for urban/rural,Wealth index factor score combined (5 decimals)
5.0,1.0,1.0,1.0,5.0,7.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,35281.0,4.0,-22367.0
5.0,1.0,1.0,1.0,5.0,7.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,35281.0,4.0,-22367.0
2.0,1.0,5.0,1.0,7.0,3.0,3.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,106788.0,5.0,39960.0
4.0,1.0,5.0,1.0,10.0,8.0,3.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,106497.0,5.0,39707.0
6.0,1.0,5.0,1.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,18561.0,3.0,-36941.0
2.0,1.0,1.0,1.0,7.0,3.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,0.0,93794.0,5.0,28635.0
3.0,1.0,5.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,0.0,,1.0,3.0,1.0,112188.0,5.0,44668.0
4.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,0.0,126897.0,5.0,57488.0
2.0,1.0,3.0,1.0,9.0,4.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,47866.0,4.0,92979.0
6.0,1.0,5.0,1.0,7.0,9.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,62951.0,4.0,104889.0
2.0,1.0,5.0,1.0,7.0,9.0,3.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,62951.0,4.0,104889.0
3.0,1.0,6.0,1.0,9.0,4.0,3.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,-28682.0,2.0,32547.0
3.0,1.0,5.0,1.0,12.0,7.0,4.0,0.0,1.0,1.0,1.0,,1.0,2.0,1.0,-25583.0,2.0,34993.0
3.0,1.0,5.0,1.0,8.0,4.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,89355.0,4.0,125734.0
3.0,1.0,5.0,1.0,8.0,4.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,89355.0,4.0,125734.0
2.0,1.0,5.0,1.0,9.0,3.0,3.0,0.0,1.0,1.0,2.0,,1.0,2.0,1.0,102501.0,4.0,136112.0
